Year,day,temp_max,temp_mean,temp_min,dew_max,dew_mean,dew_min,hum_max%,hum_mean%,hum_min%,wind_mph_max,wind_mph_mean,wind_mph_min,pressure_max,pressure_mean,pressure_min,precipitation_total_in
2021,15,83,64.1,46,33,28.4,22,61,30.7,11,26,11.3,0,25.3,25.2,25.1,0
2021,16,74,62,50,37,29.8,21,52,31.5,14,24,15.6,7,25.3,25.2,25.1,0
2021,17,79,58.8,34,36,26.5,13,79,36.1,10,12,5.8,0,25.4,25.3,25.2,0
2021,18,80,64.5,43,46,39.4,30,77,43.7,23,26,14,0,25.3,25.2,25.1,0
2020,15,85,61.4,41,44,35.2,26,80,46.5,12,12,5.3,0,25.4,25.4,25.4,0
2020,16,83,58.9,38,46,38,32,86,54,16,6,2.9,0,25.5,25.4,25.4,0
2020,17,87,63,43,49,38.7,29,86,48.9,13,8,3.8,0,25.4,25.4,25.3,0
2020,18,77,60.1,46,51,41.8,37,83,53.9,26,14,5,0,25.3,25.3,25.2,0
2020,20,67,52.1,38,45,40.6,35,100,70.5,31,15,5,0,25.4,25.4,25.3,0
2019,15,86,65.2,45,47,36.6,30,77,44,14,16,8,0,25.3,25.2,25.1,0
2019,16,81,67.3,50,50,40.2,31,68,38.4,23,26,10.8,0,25.1,25,25,0
2019,17,60,51.8,48,42,37.7,33,80,60.6,36,29,17.5,3,25.3,25.2,25.1,0.03
2019,18,74,55.5,35,40,32.3,26,86,49.8,17,20,8.6,0,25.3,25.2,25.1,0.01
2019,20,50,47.3,45,44,42.9,41,93,84.9,74,16,10.2,5,25.3,25.2,25.1,0.01
2018,15,84,63.8,43,39,33,26,71,38.8,12,23,10,3,25.2,25.1,25,0
2018,16,79,61.6,40,39,31.1,19,83,38.7,15,21,8.3,0,25.2,25.2,25.2,0
2018,17,79,56.1,35,38,25.4,13,78,39.3,8,13,4.3,0,25.3,25.2,25.2,0
2018,18,78,56.9,34,32,28.1,23,82,40.6,13,15,7.2,0,25.2,25.2,25.1,0
2018,20,66,55.4,43,32,26.7,18,62,36.3,17,22,14.3,6,25.3,25.3,25.1,0
2017,15,54,47,42,51,44.6,39,100,91.8,83,21,10.3,0,25.2,25.1,25,1.17
2017,16,53,44.8,40,40,36.8,34,93,75,48,9,3.2,0,25.4,25.3,25.2,0.07
2017,17,65,50.2,36,41,35.7,31,97,64,29,9,5.9,0,25.3,25.3,25.2,0.04
2017,18,70,54.6,40,44,40.3,36,93,61.8,31,23,9.3,0,25.2,25.1,24.9,0
2017,20,63,51.6,39,46,34.8,30,97,55.7,35,33,16.4,9,25.1,25,25,0
2016,15,63,51.5,41,42,40.6,38,89,68.2,43,9,4.3,0,25.4,25.4,25.4,0.03
2016,16,71,53.7,37,42,37.1,32,93,60,24,9,4.1,0,25.4,25.4,25.3,0
2016,17,74,59.7,39,38,33.1,28,86,42.1,19,24,12.3,0,25.4,25.3,25.2,0
2016,18,77,66.1,52,46,39.9,30,53,38.6,31,33,18.8,8,25.3,25.3,25.2,0
2016,20,81,63.2,44,46,41.8,34,86,51.9,19,20,7.9,0,25.3,25.2,25.2,0.01
2015,15,62,57.4,53,54,49.8,44,93,76.7,57,24,14.4,5,25.1,25,25,0.29
2015,16,58,51.9,48,51,44.1,37,93,75.9,47,28,17.7,7,25.2,25.1,25,0.17
2015,17,60,51,44,43,40.3,38,82,67.6,49,22,11,3,25.3,25.2,25.2,0.05
2015,18,60,48.4,39,42,37.9,31,97,70.9,33,13,6.3,0,25.4,25.4,25.3,0.01
2015,20,76,59.5,41,40,36.9,34,82,47.9,22,17,8.6,0,25.4,25.3,25.2,0
